Propriétaire du compte;Date de dernière modification;ID du compte;Main address city
ETL Interface;28/02/2019;0011p00001R2oRh;Corrèze
etl migration;28/02/2019;0012400000rGAMy;Sainte-Émélie-de-l'Énergie
ETL Interface;28/02/2019;0011p00001R2rlK;LACHUTE
etl migration;20/03/2019;0012400000rGAN0;Drummondville
ETL Interface;28/02/2019;0011p00001R2umQ;Vitry sur Seine
etl migration;20/03/2019;0012400000rGANA;Brossard
ETL Interface;28/02/2019;0011p00001R2vXx;LE PORGE
etl migration;28/02/2019;0012400000rGANC;Penticton
ETL Interface;28/02/2019;0011p00001R2vZm;Dijon
etl migration;20/03/2019;0012400000rGANN;Delta
ETL Interface;28/02/2019;0011p00001R2voX;Spruce Grove
etl migration;28/02/2019;0012400000rGANR;Orleans
ETL Interface;28/02/2019;0011p00001R2yTp;etobicoke
etl migration;20/03/2019;0012400000rGANV;La Prairie
ETL Interface;28/02/2019;0011p00001R2zoU;Orleans
etl migration;28/02/2019;0012400000rGANW;MILTON
ETL Interface;28/02/2019;0011p00001R30YD;Cambridge
etl migration;20/03/2019;0012400000rGANk;Calgary
ETL Interface;28/02/2019;0011p00001R314n;Montreal
etl migration;20/03/2019;0012400000rGANs;Laval
ETL Interface;28/02/2019;0011p00001R37vu;Vancouver
etl migration;20/03/2019;0012400000rGANu;Toronto
ETL Interface;28/02/2019;0011p00001R3EOC;Fenain
etl migration;28/02/2019;0012400000rGANw;White Rock
ETL Interface;21/06/2019;0011p00001R3GB5;Thornhill
etl migration;20/03/2019;0012400000rGAO0;North Vancouver
ETL Interface;28/02/2019;0011p00001R3Htm;Pincourt
etl migration;20/03/2019;0012400000rGAO3;Brossard
ETL Interface;28/02/2019;0011p00001R3NaK;Kelowna
etl migration;20/03/2019;0012400000rGAOA;Mississauga
ETL Interface;24/03/2019;0011p00001R3PF6;Montreal
etl migration;23/10/2018;0012400000rGAOC;
ETL Interface;23/06/2019;0011p00001R3PtL;cambridge
etl migration;20/03/2019;0012400000rGAOD;Edmonton
ETL Interface;28/02/2019;0011p00001R3S7e;montreal
etl migration;20/03/2019;0012400000rGAOF;Alliston
ETL Interface;28/02/2019;0011p00001R3SLH;Ottawa
etl migration;28/02/2019;0012400000rGAOG;Mission
ETL Interface;25/03/2019;0011p00001R3SfH;Niverville
etl migration;20/03/2019;0012400000rGAOI;Nanaimo
ETL Interface;28/02/2019;0011p00001R3SmX;Langley
etl migration;20/03/2019;0012400000rGAOJ;Mississauga
ETL Interface;28/02/2019;0011p00001R3TPe;Québec
